               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099931,             0.03711,                   0,           0.0037037,             0.83333,           0.0062632,           0.0013093,            0.082646,            0.026232,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.094068,            0.039609,                   0,            0.002949,             0.58333,           0.0067228,           0.0018793,            0.082913,            0.025148,                   0,            0.082881,           0.0018812,           0.0018812
                   2,             0.08329,            0.037629,                   0,           0.0030858,             0.66667,            0.010459,           0.0032685,            0.081756,            0.024393,                   0,            0.073843,           0.0028426,           0.0028426
                   3,            0.088447,            0.042838,                   0,            0.004777,             0.66667,            0.017828,           0.0051553,            0.077684,            0.024011,                   0,            0.064784,           0.0037842,           0.0037842
                   4,            0.076818,            0.046896,                   0,            0.004777,             0.66667,            0.017828,           0.0051553,            0.077684,            0.024011,                   0,            0.055706,            0.004706,            0.004706
                   5,            0.072731,            0.040448,                   0,            0.087769,                 0.5,            0.066233,            0.012841,            0.072378,            0.023877,                   0,            0.046608,           0.0056079,           0.0056079
                   6,            0.077957,            0.043475,                   0,            0.087769,                 0.5,            0.066233,            0.012841,            0.072378,            0.023877,                   0,             0.03749,           0.0064901,           0.0064901
                   7,             0.07346,            0.045565,                   0,            0.046238,             0.83333,             0.10109,            0.021037,            0.069082,            0.021475,                   0,            0.028353,           0.0073525,           0.0073525
                   8,             0.08761,            0.043016,                   0,            0.046238,             0.83333,             0.10109,            0.021037,            0.069082,            0.021475,                   0,            0.019195,           0.0081951,           0.0081951
                   9,            0.085059,            0.045275,                   0,            0.046238,             0.83333,             0.10109,            0.021037,            0.069082,            0.021475,                   0,            0.010018,           0.0090179,           0.0090179
                  10,            0.081067,            0.040834,                   0,            0.046238,             0.83333,             0.10109,            0.021037,            0.069082,            0.021475,                   0,             0.00901,             0.00901,             0.00901
                  11,            0.074635,            0.038422,                   0,            0.084572,                0.75,             0.13404,            0.031895,            0.070954,            0.018514,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.069895,            0.039861,                   0,            0.084572,                0.75,             0.13404,            0.031895,            0.070954,            0.018514,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.082686,            0.039598,                   0,            0.084572,                0.75,             0.13404,            0.031895,            0.070954,            0.018514,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.069018,            0.036708,                   0,             0.28883,             0.58333,             0.37983,             0.10098,            0.067505,            0.016421,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.069818,            0.035564,                   0,             0.28883,             0.58333,             0.37983,             0.10098,            0.067505,            0.016421,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.069083,            0.036936,                   0,             0.28883,             0.58333,             0.37983,             0.10098,            0.067505,            0.016421,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.07374,            0.036901,                   0,             0.43901,             0.33333,             0.39022,             0.13304,            0.056047,            0.015447,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.076272,            0.035157,                   0,             0.43901,             0.33333,             0.39022,             0.13304,            0.056047,            0.015447,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.061994,            0.034861,                   0,             0.43901,             0.33333,             0.39022,             0.13304,            0.056047,            0.015447,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.057898,            0.036793,                   0,             0.45401,             0.62491,             0.53369,             0.15844,            0.052829,            0.014942,                   0,            0.008119,            0.008119,            0.008119
